,city_name,Country,First Administration,Second Administration,latitude (degree),longitude (degree),elevation (m),dist_to_sea (km),mean_temp (Celsius),mean_solarradiation (W/m2),mean_humidity (%),mean_windspeed (kph),mean_temp_index,mean_humid_index,mean_wind_index,temp_std (Celsius),mean_temp_range (Celsius),mean_abs_temp_diff_1 (Celsius),precip_std (mm),precip_sum (mm),temp precip corr,humid radiat corr,humid precip corr,temp radiat corr,Koppen climate,Color Code,Climate Names,Group,Precipitation Type,Level of Heat
11,Amellagou,Morocco,Draa-Tafilalet,Errachidia Province,31.9980219,-5.0065451,1331.27417,273.1962935,21.971,226.404,27.968,25.191,0.812083305,0.011083721,0.020140748,8.523,12.334,1.115,1.96,110.1,-0.135,-0.646,0.407,0.716,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
12,Amman,Jordan,Amman Governorate,Amman,31.9515694,35.9239625,820.7145996,113.5073149,18.801,236.404,53.322,20.73,0.842806139,0.016225577,0.027810259,7.723,10.227,1.414,3.036,225.28,-0.317,-0.811,0.362,0.745,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
13,Amsterdam,Netherlands,North Holland,Government of Amsterdam,52.3730796,4.8924534,2.54970479,32.42734069,11.762,182.413,77.668,25.295,0.631641162,0.002602876,0.016066071,5.829,6.884,1.451,4.34,734.602,-0.022,-0.7,0.306,0.648,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
14,Anchorage,United States,Alaska,Anchorage Municipality,61.2163129,-149.894852,29.43393135,1.414771172,4.04,90.679,70.221,16.058,0.377003278,0.008431679,0.047650702,9.866,7.201,1.659,3.774,555.818,0.205,-0.676,0.337,0.679,Dsc,#BEBEBE,Dry-summer subarctic climate,Cold (continental),Dry summer,Cold summer
15,Andorra,Andorra,Andorra la Vella,Andorra la Vella,42.5063174,1.5218355,1011.103882,129.4015278,12.503,772.183,68.249,18.7,0.684277911,0.00747405,0.03368531,8.457,13.522,1.518,10.189,1567.956,-0.338,-0.083,-0.223,0.11,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
16,Ankara,Turkey,Ankara,Ankara,39.9207886,32.8540482,863.4700317,182.6508991,13.002,203.393,58.316,13.821,0.6761545,0.017838523,0.053057517,8.874,10.393,1.478,7.358,563.455,-0.137,-0.752,0.193,0.704,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
17,Ann Arbor,United States,Michigan,Washtenaw County,42.2681569,-83.7312291,261.5985718,743.6377751,9.411,142.045,69.156,23.262,0.537290159,0.005978278,0.018410818,10.679,11.027,2.755,4.178,601.143,0.142,-0.439,0.411,0.649,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer
18,Antalaha,Madagascar,Sava,Antalaha,-14.9061237,50.2785486,9.170306206,1.603263176,23.212,247.078,80.549,18.757,0.973575279,0.00028824,0.029272433,2.139,9.276,0.49,8.734,1662.8,0.098,-0.455,0.575,0.369,Af,#960000,Tropical rainforest climate,Tropical,Rainforest,
19,Antananarivo,Madagascar,Analamanga,Antananarivo-Atsimondrano,-18.8791902,47.5079055,1249.083008,155.6781726,18.492,238.778,75.903,23.143,1.123806399,0.001332032,0.010386026,2.884,11.239,0.743,11.395,1156.6,0.196,-0.628,0.368,0.335,Cwb,#8C8C00,Subtropical highland climate or temperate oceanic climate with dry winters,Temperate,Dry winter,Warm summer
20,Antarctica,Antarctica,Antarctica,,-82.8627519,135.0,2624.807861,1635.571659,-33.989,137.13,56.966,37.087,6.67e-11,0.016082014,0.001400556,7.909,6.859,3.042,0.421,74.8,0.293,0.406,0.442,0.747,EF,#6496FF,Ice cap climate,Polar,Ice cap,
21,Arkhangelsk,Russia,Arkhangelsk Oblast,Arkhangelsk,64.543022,40.537121,6.919044495,1.367853878,3.248,99.753,81.201,16.856,0.319248972,0.002336202,0.040107983,10.733,7.737,2.255,3.061,547.274,0.158,-0.742,0.272,0.678,Dfc,#C800C8,Subarctic climate,Cold (continental),Without dry season,Cold summer
22,Ashgabat,Turkmenistan,Ashgabat,Ashgabat,37.9404648,58.3823487,225.2759247,445.6780871,18.43,215.856,50.212,22.006,0.679500729,0.012881399,0.02418148,10.317,11.068,1.737,1.959,152.7,-0.056,-0.779,0.233,0.857,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
23,Asmara,Eritrea,Central,Gala Nethi,15.3228767,38.9250517,2327.70752,56.94093682,19.306,269.391,56.92,20.386,1.226164664,0.014533288,0.025173771,2.754,8.122,0.715,4.64,721.7,-0.029,-0.628,0.329,0.553,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
24,Astana,Kazakhstan,Astana,Astana,51.1282205,71.4306682,349.9391479,1511.165626,3.979,161.909,64.571,26.927,0.447397255,0.01394198,0.015033481,14.737,11.867,2.527,1.558,260.64,-0.028,-0.731,0.321,0.754,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer
25,Astrakhan,Russia,Astrakhan Oblast,Gorod Astrakhan',46.3498308,48.0326203,-9.248364449,57.29224153,12.061,175.803,67.757,26.311,0.549304802,0.012101646,0.012740002,11.07,10.237,1.776,2.173,231.6,-0.064,-0.805,0.248,0.76,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
26,Aswan,Egypt,Aswan Governorate,Aswan,24.091071,32.897306,97.09081268,221.4080199,27.092,269.432,25.008,22.371,0.709953533,0.010665292,0.014796796,7.785,13.928,1.037,0.052,1.6,-0.057,-0.841,0.062,0.71,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot
27,Athens,Greece,Central Athens Regional Unit,Athens,37.9839412,23.7283052,71.70706177,5.432493807,18.228,187.818,58.107,24.878,0.843447506,0.01723305,0.017459137,7.462,8.789,1.182,3.71,335.032,-0.134,-0.794,0.261,0.716,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
28,Atlanta,United States,Georgia,Fulton County,33.7489924,-84.3902644,309.8830566,362.5979473,17.207,348.654,66.716,18.993,0.774731123,0.011098087,0.03039062,8.037,10.376,1.99,6.75,1113.078,0.007,0.15,0.433,0.241,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
29,Auckland NZ,New Zealand,Auckland,Auckland,-36.852095,174.7631803,18.01652145,0.886850164,16.533,182.022,79.373,26.822,1.052810012,0.000982993,0.011193433,3.643,6.732,0.982,9.075,1377.975,-0.029,-0.683,0.427,0.508,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
30,Austin,United States,Texas,Travis County,30.2711286,-97.7436995,162.1903687,188.9500761,21.055,182.361,60.999,19.432,0.690241836,0.015276105,0.030769119,8.96,12.374,2.127,7.441,619.87,-0.082,-0.573,0.297,0.546,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
31,Baghdad,Iraq,Baghdad Governorate,Baghdad,33.3061701,44.3872213,33.75,477.6992196,24.704,237.446,37.838,24.295,0.697759992,0.011624361,0.018359933,9.728,14.335,1.268,2.391,107.2,-0.12,-0.835,0.254,0.783,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot
32,Bakersfield,United States,California,Kern County,35.3738712,-119.0194639,124.0907593,109.2673585,19.697,208.886,46.303,20.394,0.757783886,0.018791214,0.027539651,8.645,12.732,1.499,1.743,105.069,-0.143,-0.756,0.251,0.755,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot
33,Baku,Azerbaijan,Baku,Baku,40.3755885,49.8328009,-11.26161671,3.540748692,16.079,198.249,70.9,33.575,0.709880181,0.006630382,0.004676831,8.122,7.609,1.174,32.42,4455.1,-0.188,-0.673,0.143,0.732,BWk,#FFFF64,Cold desert climate,Arid,Desert,Cold
34,Bamako,Mali,Bamako Capital District,Bamako,12.6392316,-8.0028892,326.4494934,620.4871753,27.842,245.748,49.286,20.026,0.72800313,0.009875566,0.026260658,3.015,13.09,1.086,5.396,599.0,-0.239,-0.32,0.385,0.526,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
35,Bangkok,Thailand,Bangkok,Bangkok,13.7524938,100.4935089,1.889712214,17.47887808,28.721,151.068,73.175,18.329,0.422756261,0.003860079,0.029912561,1.551,7.655,0.833,13.797,2436.114,-0.191,-0.256,0.484,0.479,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
36,Bangui,Central African Republic,Bangui,Bangui,4.3946735,18.5581899,375.3478088,869.9740316,26.268,242.639,73.679,14.424,0.709145375,0.005471754,0.056375419,1.882,11.763,1.061,12.083,1870.4,-0.353,-0.488,0.332,0.55,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
37,Banjul,The Gambia,Banjul,Banjul,13.454375,-16.5753186,2.20339489,1.274719739,26.118,251.556,69.696,22.179,0.696031636,0.008877015,0.01554051,1.773,11.379,0.868,16.021,1592.1,0.006,-0.175,0.31,0.021,As,#FF6E6E,Tropical dry savanna climate,Tropical,"Savanna, Dry",
38,Barcelona,Spain,Catalonia,Barcelona,41.3828939,2.1774322,11.89887142,2.730243067,17.84,165.561,69.843,21.179,0.856227921,0.006348066,0.019645566,6.518,8.177,0.962,4.562,368.689,-0.025,-0.551,0.212,0.663,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
39,Barentsburg,Svalbard and Jan Mayen,Svalbard,Svalbard,78.065362,14.2172367,82.3911972,1.476596552,-2.382,76.981,75.621,29.645,0.059388282,0.002073285,0.008073165,8.2,5.461,1.814,3.613,758.6,-0.07,-0.245,0.153,0.308,ET,#64FFFF,Tundra,Polar,Tundra,
40,Baton Rouge,United States,Louisiana,East Baton Rouge Parish,30.4507936,-91.1391153,15.3852005,75.73625099,19.993,200.467,74.08,20.611,0.742068922,0.004820019,0.025181134,7.564,11.585,2.166,8.719,1210.487,0.049,-0.418,0.395,0.379,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
41,Batticaloa,Sri Lanka,Eastern Province,Batticaloa,7.7249146,81.6966911,9.0,1.468338796,27.811,236.288,75.404,23.423,0.46985703,0.001410815,0.013814215,1.33,5.22,0.382,15.482,2231.6,-0.343,-0.276,0.416,0.419,Am,#FF0000,Tropical monsoon climate,Tropical,Monsoon,
42,Batumi,Georgia,Adjara,Batumi,41.6509502,41.6360085,4.979066849,0.752730726,15.213,162.36,78.698,26.965,0.795043163,0.003351972,0.013417844,6.789,6.238,1.337,11.633,1946.764,-0.174,-0.107,0.285,0.546,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
43,Beijing,China,Beijing,Beijing,39.906217,116.3912757,44.75004196,154.4380096,12.9,197.056,55.682,19.628,0.556243776,0.015658847,0.037863778,11.635,12.533,1.691,7.868,583.9,0.167,-0.108,0.312,0.648,Cwa,#BEBE00,Monsoon-influenced humid subtropical climate,Temperate,Dry winter,Hot summer
44,Beirut,Lebanon,Beirut Governorate,Beirut,33.88922645,35.50255853,68.30079651,1.9491969,21.428,240.253,64.042,21.299,0.933925361,0.010797144,0.027202671,5.697,5.99,0.863,3.495,367.9,-0.377,0.23,0.164,0.638,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer
45,Belfast,United Kingdom,Northern Ireland,Belfast,54.596391,-5.9301829,4.790583611,2.447202459,10.731,170.776,80.328,23.089,0.572460783,0.000638257,0.020486731,4.545,5.853,1.31,3.744,843.243,0.034,-0.725,0.32,0.474,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
46,Belgrad,Serbia,City of Belgrade,Belgrade,44.8178131,20.4568974,115.9441757,292.9700055,13.898,177.65,69.544,18.622,0.672242016,0.010511374,0.036271894,8.525,10.278,1.746,6.113,670.792,-0.086,-0.74,0.281,0.745,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
47,Bengaluru,India,Karnataka,Bangalore Division,12.9767936,77.590082,920.4420166,241.4396922,23.587,229.364,74.309,19.94,1.051877143,0.005312526,0.027735687,1.907,9.36,0.575,14.741,2054.769,0.031,-0.645,0.275,0.572,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot
48,Bergen,Norway,Vestland,Bergen,60.3943055,5.3259192,2.119898081,2.810707836,8.339,74.3,78.105,26.445,0.399636919,0.003400469,0.017997474,5.177,5.331,1.477,13.378,2772.231,-0.124,-0.354,0.263,0.482,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
49,Berlin,Germany,Berlin,Kreisfreie Stadt Berlin,52.5170365,13.3888599,35.97542191,138.9507532,11.388,131.222,71.142,20.493,0.593475686,0.008963812,0.027252943,7.534,8.111,1.703,2.463,389.149,0.048,-0.821,0.253,0.697,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
50,Birmingham UK,United Kingdom,England,West Midlands,52.4796992,-1.9026911,138.2549286,85.44640977,11.178,184.384,78.99,20.052,0.589398217,0.002121093,0.026650822,5.559,8.093,1.59,3.189,573.974,-0.039,-0.757,0.365,0.513,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
51,Birmingham US,United States,Alabama,West Midlands,33.5186,-86.8104,196.0,337.0,17.933,174.667,66.795,20.139,0.760392359,0.010402322,0.027056004,8.339,10.788,2.322,12.28,1406.449,0.044,-0.495,0.284,0.426,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
52,Bishkek,Kyrgyzstan,Bishkek City,Bishkek,42.8777895,74.6066926,750.6220703,1911.397882,12.546,191.982,61.81,20.061,0.620067641,0.014064405,0.027645488,10.781,12.22,1.79,5.985,575.864,-0.029,-0.794,0.114,0.835,Dsb,#8C8C8C,"Warm, dry-summer continental climate",Cold (continental),Dry summer,Warm summer
53,Bloemfontein,South Africa,Free State,Mangaung Metropolitan Municipality,-29.116395,26.215496,1386.011963,409.1390961,15.94,244.763,61.622,20.941,0.90943359,0.012811534,0.026394556,5.362,16.345,1.401,5.421,698.858,0.077,-0.347,0.45,0.675,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold
54,Bogota,Colombia,Bogota,Bogotá,4.6534649,-74.0836453,2552.980713,303.729757,13.851,227.085,80.245,20.148,0.920861019,0.000326418,0.020132937,0.775,9.748,0.627,3.768,1250.9,0.035,-0.325,0.344,0.078,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
55,Boise,United States,Idaho,Ada County,43.6150186,-116.2023137,822.3980713,717.8667499,11.432,195.282,51.87,24.092,0.514414477,0.014011465,0.015685589,11.16,11.903,1.943,2.281,266.092,-0.14,-0.783,0.342,0.766,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
56,Bordeaux,France,Nouvelle-Aquitaine,Gironde,44.841225,-0.5800364,16.38435364,6.887189268,15.507,157.221,73.213,21.192,0.814939962,0.006208352,0.021757605,7.032,9.697,1.57,3.674,557.383,-0.084,-0.796,0.334,0.73,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
57,Boston,United States,Massachusetts,Suffolk County,42.3554334,-71.060511,9.207843781,1.247717487,11.932,116.668,64.217,29.079,0.612620222,0.013797927,0.005624607,9.622,8.173,2.868,5.223,783.291,-0.037,-0.497,0.455,0.38,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
58,Brasilia,Brazil,Federal District,Brasilia,-10.3333333,-53.2,299.9943542,843.0232774,21.304,242.309,63.656,14.997,1.201283703,0.012426448,0.050104486,1.931,10.398,0.861,4.931,521.7,-0.098,-0.331,0.339,0.337,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
59,Brisbane,Australia,Queensland,Brisbane,-27.4689682,153.0234991,15.71305084,15.18686727,20.36,138.146,70.853,13.634,1.106966918,0.00569667,0.058610916,3.939,8.59,1.041,19.748,1606.141,0.078,-0.552,0.328,0.563,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
60,Brussel,Belgium,Brussels,Brussels,50.8465573,4.351697,21.36326218,42.45809258,12.189,89.891,74.591,18.827,0.662633598,0.005683248,0.035211915,6.425,7.764,1.639,3.744,648.843,-0.035,-0.724,0.365,0.68,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
61,Bucharest,Romania,Bucharest,Bucharest,44.4361414,26.1027202,80.72928619,218.3303663,13.49,164.556,66.621,8.884,0.66295257,0.012175053,0.069406663,8.883,11.285,1.618,3.808,405.883,0.043,-0.606,0.258,0.751,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
62,Budapest,Hungary,Budapest,,47.48138955,19.14609413,144.1712189,466.2782855,12.724,203.686,65.862,16.076,0.632984409,0.013277111,0.048888111,8.465,9.456,1.537,3.16,449.926,0.016,-0.734,0.335,0.751,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
63,Buenos Aires,Argentina,Buenos Aires,Buenos Aires,-34.6075682,-58.4370894,18.75482559,5.771123952,17.84,256.502,68.475,21.085,0.961740852,0.008517878,0.024515574,5.491,6.939,1.744,8.792,726.686,0.152,-0.268,0.189,0.57,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
64,Buffalo,United States,New York,Erie County,42.8867166,-78.8783922,180.9992981,427.0956082,10.028,246.169,68.322,26.389,0.57575764,0.007428521,0.011626178,10.341,8.408,2.877,6.788,992.167,-0.068,-0.546,0.362,0.527,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer
65,Bulawayo,Zimbabwe,Bulawayo Province,Bulawayo,-20.1457125,28.5873388,1342.0,596.5988394,19.502,244.564,55.623,22.924,1.095044439,0.016436575,0.014983705,3.746,12.676,1.258,2.88,365.0,0.032,-0.543,0.454,0.562,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot
66,Ca Mau,Vietnam,Ca Mau,Cà Mau,9.1526728,105.1960795,0.805111408,26.10374257,27.662,216.665,76.571,19.027,0.55201452,0.000910475,0.030212351,1.299,7.709,0.495,15.3,2942.1,-0.212,-0.528,0.451,0.514,Am,#FF0000,Tropical monsoon climate,Tropical,Monsoon,
67,Cairn Gorm,United Kingdom,Scotland,Scotland,57.0724694,-3.6093504,969.5418701,56.36520921,6.452,71.562,87.079,39.071,0.223624256,0.000459381,0.007498449,4.599,4.507,1.358,5.623,1578.858,-0.166,-0.431,0.145,0.533,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
68,Cairns,Australia,Queensland,Cairns Regional,-16.9203476,145.7709529,3.153040886,1.914221785,25.144,208.385,76.585,21.055,0.832203854,0.00110715,0.018905971,2.699,7.437,0.692,13.821,1949.191,-0.007,-0.515,0.574,0.383,Am,#FF0000,Tropical monsoon climate,Tropical,Monsoon,
69,Cairo,Egypt,Cairo Governorate,Cairo,30.0443879,31.2357257,21.35083771,118.2540787,22.719,241.982,54.077,23.161,0.914118197,0.021103648,0.015007377,6.071,9.139,1.028,0.52,37.9,-0.282,-0.376,0.229,0.693,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot
70,Calama,Chile,Antofagasta,El Loa,-22.4623917,-68.9272181,2267.697021,131.3613055,13.938,317.007,23.008,53.291,0.644003587,0.008011323,6.71e-05,2.485,17.985,0.816,0.035,1.6,0.025,0.255,0.175,0.597,BWk,#FFFF64,Cold desert climate,Arid,Desert,Cold
71,Calgary,Canada,Alberta,Calgary,51.0460954,-114.065465,1048.960815,866.9205702,5.193,119.991,57.9,26.047,0.428269916,0.017686525,0.012502571,12.04,10.892,3.163,3.493,393.12,0.043,-0.327,0.394,0.613,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer
72,Cancun,Mexico,Quintana Roo,Cancun,21.1619,-86.8515,10.0,5.0,26.51,254.442,77.072,23.658,0.712561097,0.000947119,0.012837503,1.867,10.339,0.688,4.66,1208.8,-0.094,-0.166,0.567,0.623,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
73,Cape Town,South Africa,Western Cape,City of Cape Town Metropolitan Municipality,-33.928992,18.417396,30.48875427,2.546189613,17.702,179.004,68.447,30.388,1.047934194,0.007472919,0.005998779,3.861,10.076,1.436,4.801,480.906,-0.21,-0.423,0.342,0.714,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
74,Caracas,Venezuela,Capital District,Libertador,10.5060934,-66.9146008,919.652771,10.38093082,25.932,242.947,78.862,12.959,0.682449434,0.000419863,0.070492622,1.074,9.92,0.697,4.475,1678.5,-0.198,-0.13,0.229,0.214,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
75,Cardiff,United Kingdom,Wales,Cardiff,51.4816546,-3.1791934,12.04001808,2.855244192,11.748,102.803,80.457,23.599,0.639093535,0.001669367,0.017889813,5.116,6.18,1.288,3.942,845.423,-0.098,-0.676,0.363,0.584,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer
76,Casablanca,Morocco,Casablanca-Settat,Casablanca,33.5945144,-7.6200284,13.05108547,1.510288869,18.452,210.862,78.316,19.236,1.065280456,0.002303043,0.026014415,4.167,9.501,0.922,4.455,346.513,-0.201,-0.087,0.197,0.562,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
77,Champaign,United States,Illinois,Champaign County,40.1164841,-88.2430932,224.7975922,938.1203754,11.281,129.668,71.927,28.078,0.567317078,0.006046901,0.012392588,11.204,10.84,2.93,5.034,672.362,0.104,-0.521,0.375,0.565,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer
78,Changchun,China,Jilin,Changchun,43.8843102,125.3180952,218.976944,390.2931502,18.698,150.384,76.876,12.337,0.805867433,0.003674361,0.067832473,7.808,8.045,1.483,9.18,1251.715,-0.006,-0.752,0.375,0.675,Dwa,#6E28B4,Monsoon-influenced hot-summer humid continental climate,Cold (continental),Dry winter,Hot summer
79,Changsha,China,Hunan,Changsha,28.1450774,113.2384362,63.31957245,500.8897885,19.144,168.341,74.343,18.856,0.620967337,0.007747711,0.031816579,9.593,8.291,1.495,9.069,1387.7,-0.087,-0.668,0.441,0.671,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
80,Charleston,United States,South Carolina,Charleston County,32.7884363,-79.9399309,4.58533144,0.559795321,19.275,73.901,76.774,20.647,0.809220196,0.003760678,0.022296268,7.191,9.116,2.054,6.773,792.156,0.112,0.07,0.307,0.654,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer
81,Charlotte,United States,North Carolina,Mecklenburg County,35.2272086,-80.8430827,232.5716248,242.6786247,16.716,64.807,65.474,19.213,0.748572525,0.011218261,0.030638065,8.259,11.034,2.133,7.261,1021.617,-0.026,-0.259,0.403,0.557,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer
82,Chengdu,China,Sichuan,Chengdu,30.6598628,104.0633717,495.5461426,976.9120573,18.763,153.722,72.247,14.332,0.780038633,0.004360083,0.057869262,8.004,7.643,1.26,9.03,1154.4,0.212,-0.554,0.191,0.539,Cwa,#BEBE00,Monsoon-influenced humid subtropical climate,Temperate,Dry winter,Hot summer
83,Chennai,India,Tamil Nadu,Chennai,13.0836939,80.270186,8.524745941,2.070461165,28.638,232.757,80.479,21.476,0.343250574,0.0005169,0.015335891,1.689,6.554,0.528,17.209,1921.056,-0.323,-0.155,0.337,0.457,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",
