,city_name,Country,First Administration,Second Administration,latitude (degree),longitude (degree),elevation (m),dist_to_sea (km),mean_temp (Celsius),mean_solarradiation (W/m2),mean_humidity (%),mean_windspeed (kph),mean_temp_index,mean_humid_index,mean_wind_index,temp_std (Celsius),mean_temp_range (Celsius),mean_abs_temp_diff_1 (Celsius),precip_std (mm),precip_sum (mm),mean_pressure (millibar),pressure_std (millibar),mean_snow_depth (cm),mean_cloud_cover (%),mean_visibility (km),clear_day_num,cloudy_day_num,overcast_day_num,rain_day_num,snow_day_num,temp precip corr,humid radiat corr,humid precip corr,temp radiat corr,pressure_temp_corr,Koppen climate,Color Code,Climate Names,Group,Precipitation Type,Level of Heat,Region,Continent
10,Dubai,United Arab Emirates,Dubai,Dubai,25.2048493,55.2707828,-2.962820292,1.570009432,29.905,326.472,50.921,24.444,0.55003738,0.022712839,0.007587759,5.584,8.608,0.892,1.232,75.6,1007.652,7.476,0.0,15.436,9.322,243,117,0,30,0,-0.2,-0.043,0.283,0.038,-0.889,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,"Arabian Peninsula, Middle East",Asia
11,Abuja,Nigeria,Federal Capital Territory,Abuja Municipal Area Council,9.0764785,7.398574,455.5245361,380.400377,26.879,234.493,65.115,19.437,0.741447911,0.01067396,0.040749537,2.235,11.309,0.784,26.969,3187.7,1012.128,1.755,0.0,52.371,10.576,26,319,7,216,0,-0.023,-0.554,-0.17,0.718,-0.731,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",,West Africa,Africa
12,Kano,Nigeria,Kano,Kano,12.0021794,8.5919561,468.6073914,692.9202553,25.768,250.047,49.918,26.215,0.817783643,0.015574127,0.010587695,4.24,13.841,0.961,46.526,4577.9,1014.011,2.77,0.0,47.16,11.068,27,328,4,102,0,0.217,-0.469,-0.077,0.398,-0.801,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot,West Africa,Africa
13,Lagos,Nigeria,Lagos,Lagos,6.4550575,3.3941795,3.768089056,0.555928836,27.403,234.118,81.39,24.104,0.53268867,0.000935287,0.015415091,1.489,8.13,0.69,19.023,1892.0,1011.979,1.763,0.0,54.266,9.838,4,354,7,168,0,-0.191,-0.288,0.186,0.452,-0.685,Am,#FF0000,Tropical monsoon climate,Tropical,Monsoon,,West Africa,Africa
14,Accra,Ghana,Greater Accra Region,Accra Metropolis,5.6037168,-0.1869644,56.57720566,5.454339669,27.231,247.577,80.17,25.285,0.568283441,0.000994212,0.009004808,1.549,5.699,0.481,10.919,1070.15,1011.227,1.747,0.0,53.381,11.034,17,348,0,215,0,-0.189,-0.266,0.202,0.346,-0.734,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",,West Africa,Africa
15,Addis Ababa,Ethiopia,Addis Ababa,Addis Ababa,9.0107934,38.7612525,2339.211182,452.5544016,16.979,247.638,59.598,24.596,1.12397118,0.016882038,0.01164826,1.663,10.765,0.58,3.74,544.6,1020.497,4.066,0.0,59.815,16.986,13,323,29,183,0,-0.192,-0.599,0.423,0.38,-0.229,Cwb,#8C8C00,Subtropical highland climate or temperate oceanic climate with dry winters,Temperate,Dry winter,Warm summer,Eastern Africa,Africa
16,Adelaide,Australia,South Australia,Adelaide,-34.9281805,138.5999312,44.71621704,10.31905128,15.405,189.378,69.804,23.511,0.874798993,0.007035125,0.012731474,4.841,7.622,1.685,3.317,556.717,1016.514,6.874,0.0,51.072,16.624,50,274,31,227,0,-0.166,-0.576,0.346,0.624,-0.442,Csb,#00D700,Warm-summer Mediterranean climate,Temperate,Dry summer,Warm summer,"Australia, Oceania",Oceania
17,Alice Springs,Australia,Northern Territory,Northern Territory,-23.6983884,133.8812885,582.1600952,821.7797074,20.604,249.317,45.175,24.584,0.864944093,0.019984991,0.010570522,7.051,15.457,2.032,4.957,375.6,1014.348,5.726,0.0,37.056,10.075,144,193,25,58,0,0.066,-0.549,0.455,0.575,-0.879,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,"Australia, Oceania",Oceania
18,Brisbane,Australia,Queensland,Brisbane,-27.4689682,153.0234991,15.71305084,15.18686727,20.36,138.146,70.853,13.634,1.106966918,0.00569667,0.058610916,3.939,8.59,1.041,19.748,1606.141,1015.356,5.556,0.0,51.162,15.564,53,245,52,221,0,0.078,-0.552,0.328,0.563,-0.624,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,"Australia, Oceania",Oceania
19,Cairns,Australia,Queensland,Cairns Regional,-16.9203476,145.7709529,3.153040886,1.914221785,25.144,208.385,76.585,21.055,0.832203854,0.00110715,0.018905971,2.699,7.437,0.692,13.821,1949.191,1010.732,3.772,0.0,65.905,9.967,11,304,47,213,0,-0.007,-0.515,0.574,0.383,-0.774,Am,#FF0000,Tropical monsoon climate,Tropical,Monsoon,,"Australia, Oceania",Oceania
20,Darwin,Australia,Northern Territory,,-12.46044,130.8410469,32.96897507,0.201704791,27.713,255.975,72.032,22.779,0.544753304,0.004651207,0.01324598,2.276,8.223,0.709,12.304,1836.622,1009.193,2.701,0.0,58.961,13.553,20,321,23,197,0,-0.039,-0.108,0.441,0.376,-0.561,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",,"Australia, Oceania",Oceania
21,Kalgoorlie,Australia,Western Australia,City of Kalgoorlie-Boulder,-30.749,121.466,375.5230103,306.9046333,18.581,238.853,51.176,25.516,0.922272726,0.018818577,0.009240649,6.073,12.325,2.136,1.739,160.7,1015.955,5.935,0.0,40.615,10.054,127,214,24,64,0,-0.113,-0.693,0.346,0.665,-0.555,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot,"Australia, Oceania",Oceania
22,Melbourne,Australia,Victoria,Melbourne,-37.8142176,144.9631608,9.033115387,6.071066685,15.321,158.147,72.428,17.338,0.891235306,0.004315377,0.036759412,4.67,7.872,1.617,3.88,551.068,1016.494,7.648,0.0,61.304,14.728,27,284,47,244,0,0.028,-0.561,0.291,0.558,-0.323,Cfb,#005000,Temperate oceanic climate,Temperate,Without dry season,Warm summer,"Australia, Oceania",Oceania
23,Perth,Australia,Western Australia,Perth,-31.9558964,115.8605801,13.20023727,11.94913342,18.531,207.786,63.748,19.905,1.008666334,0.011554567,0.023655246,5.168,10.622,1.522,3.923,549.994,1015.726,5.929,0.0,38.12,14.122,117,224,10,158,0,-0.265,-0.709,0.353,0.671,-0.518,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,"Australia, Oceania",Oceania
24,Sydney,Australia,New South Wales,Sydney,-33.8698439,151.2082848,20.9370842,3.912418116,17.712,118.888,75.664,19.367,1.084993793,0.004830135,0.018111675,3.914,7.563,1.148,12.237,1973.544,1016.655,6.852,0.0,55.78,14.097,31,253,56,256,0,0.063,-0.409,0.457,0.373,-0.4,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,"Australia, Oceania",Oceania
25,Albuquerque,United States,New Mexico,Bernalillo County,35.0841034,-106.650985,1510.123535,750.7037607,14.438,370.696,39.651,29.475,0.670098798,0.019256619,0.012813188,9.443,12.968,1.751,2.693,230.685,1015.296,6.837,0.004,46.624,15.804,69,277,19,89,8,0.061,-0.601,0.353,0.648,-0.541,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,North America,North America
26,Anchorage,United States,Alaska,Anchorage Municipality,61.2163129,-149.894852,29.43393135,1.414771172,4.04,90.679,70.221,16.058,0.377003278,0.008431679,0.047650702,9.866,7.201,1.659,3.774,555.818,1009.235,11.649,11.854,63.236,14.819,53,203,109,105,54,0.205,-0.676,0.337,0.679,-0.019,Dsc,#BEBEBE,Dry-summer subarctic climate,Cold (continental),Dry summer,Cold summer,North America,North America
27,Ann Arbor,United States,Michigan,Washtenaw County,42.2681569,-83.7312291,261.5985718,743.6377751,9.411,142.045,69.156,23.262,0.537290159,0.005978278,0.018410818,10.679,11.027,2.755,4.178,601.143,1016.842,6.987,0.93,49.803,14.211,85,205,70,137,37,0.142,-0.439,0.411,0.649,-0.313,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
28,Atlanta,United States,Georgia,Fulton County,33.7489924,-84.3902644,309.8830566,362.5979473,17.207,348.654,66.716,18.993,0.774731123,0.011098087,0.03039062,8.037,10.376,1.99,6.75,1113.078,1018.488,5.002,0.004,45.202,15.179,85,245,35,141,7,0.007,0.15,0.433,0.241,-0.453,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
29,Austin,United States,Texas,Travis County,30.2711286,-97.7436995,162.1903687,188.9500761,21.055,182.361,60.999,19.432,0.690241836,0.015276105,0.030769119,8.96,12.374,2.127,7.441,619.87,1016.437,6.523,0.009,40.487,15.297,123,205,33,84,4,-0.082,-0.573,0.297,0.546,-0.723,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
30,Bakersfield,United States,California,Kern County,35.3738712,-119.0194639,124.0907593,109.2673585,19.697,208.886,46.303,20.394,0.757783886,0.018791214,0.027539651,8.645,12.732,1.499,1.743,105.069,1015.581,5.543,0.0,11.522,12.375,288,66,4,40,0,-0.143,-0.756,0.251,0.755,-0.773,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,North America,North America
31,Baton Rouge,United States,Louisiana,East Baton Rouge Parish,30.4507936,-91.1391153,15.3852005,75.73625099,19.993,200.467,74.08,20.611,0.742068922,0.004820019,0.025181134,7.564,11.585,2.166,8.719,1210.487,1017.708,4.924,0.0,34.669,15.29,128,201,19,153,1,0.049,-0.418,0.395,0.379,-0.652,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
32,"Birmingham, US",United States,Alabama,Jefferson County,33.5185892,-86.8103567,183.2224579,291.9507308,17.933,174.667,66.795,20.139,0.760392359,0.010402322,0.027056004,8.339,10.788,2.322,12.28,1406.449,1018.216,4.954,0.001,51.395,15.331,64,257,42,153,5,0.044,-0.495,0.284,0.426,-0.526,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
33,Boise,United States,Idaho,Ada County,43.6150186,-116.2023137,822.3980713,717.8667499,11.432,195.282,51.87,24.092,0.514414477,0.014011465,0.015685589,11.16,11.903,1.943,2.281,266.092,1017.804,8.247,0.393,28.455,15.283,200,123,31,85,35,-0.14,-0.783,0.342,0.766,-0.566,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,North America,North America
34,Boston,United States,Massachusetts,Suffolk County,42.3554334,-71.060511,9.207843781,1.247717487,11.932,116.668,64.217,29.079,0.612620222,0.013797927,0.005624607,9.622,8.173,2.868,5.223,783.291,1016.675,7.821,0.032,63.026,14.843,18,278,69,142,17,-0.037,-0.497,0.455,0.38,-0.294,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
35,Buffalo,United States,New York,Erie County,42.8867166,-78.8783922,180.9992981,427.0956082,10.028,246.169,68.322,26.389,0.57575764,0.007428521,0.011626178,10.341,8.408,2.877,6.788,992.167,1016.769,7.358,2.11,67.492,14.686,12,264,89,177,68,-0.068,-0.546,0.362,0.527,-0.287,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,North America,North America
36,Champaign,United States,Illinois,Champaign County,40.1164841,-88.2430932,224.7975922,938.1203754,11.281,129.668,71.927,28.078,0.567317078,0.006046901,0.012392588,11.204,10.84,2.93,5.034,672.362,1017.426,6.624,0.115,40.445,14.733,125,176,52,123,13,0.104,-0.521,0.375,0.565,-0.434,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
37,Charleston,United States,South Carolina,Charleston County,32.7884363,-79.9399309,4.58533144,0.559795321,19.275,73.901,76.774,20.647,0.809220196,0.003760678,0.022296268,7.191,9.116,2.054,6.773,792.156,1018.496,5.14,0.0,43.622,14.73,76,258,28,147,3,0.112,0.07,0.307,0.654,-0.414,Csa,#96FF00,Hot-summer Mediterranean climate,Temperate,Dry summer,Hot summer,North America,North America
38,Charlotte,United States,North Carolina,Mecklenburg County,35.2272086,-80.8430827,232.5716248,242.6786247,16.716,64.807,65.474,19.213,0.748572525,0.011218261,0.030638065,8.259,11.034,2.133,7.261,1021.617,1018.528,5.69,0.025,55.253,14.901,53,271,41,142,6,-0.026,-0.259,0.403,0.557,-0.383,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
39,Cheyenne,United States,Wyoming,Laramie County,41.139981,-104.820246,1855.563477,1292.973788,8.629,216.666,48.04,34.58,0.479184294,0.021456739,0.003097712,10.83,13.666,3.281,1.386,176.265,1015.139,7.781,0.833,25.879,15.322,172,160,17,74,36,-0.06,-0.093,0.51,0.387,-0.416,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,North America,North America
40,Chicago,United States,Illinois,Cook County,41.8755616,-87.6244212,181.4854279,1082.874226,11.548,79.363,62.183,25.814,0.570988138,0.014209276,0.009858565,11.691,8.43,2.97,5.3,753.71,1016.609,7.202,0.656,65.496,15.056,23,261,80,120,34,0.111,-0.602,0.441,0.309,-0.406,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
41,Cleveland,United States,Ohio,Cuyahoga County,41.4996574,-81.6936772,199.7204132,529.2249942,12.008,249.84,65.079,30.46,0.615652018,0.010107321,0.006673203,10.454,7.076,2.915,5.264,787.782,1016.99,6.731,1.94,48.754,14.725,97,195,67,154,38,0.169,-0.41,0.323,0.539,-0.324,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
42,Colorado Springs,United States,Colorado,El Paso County,38.8339578,-104.825348,1831.291748,1125.008047,10.33,139.415,44.151,28.319,0.572088137,0.017957037,0.009661701,10.244,13.661,3.53,2.959,293.427,1013.62,8.402,0.281,45.475,15.345,72,271,21,94,40,0.075,-0.311,0.362,0.681,-0.417,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,North America,North America
43,Columbus,United States,Ohio,Franklin County,39.9622601,-83.0007065,231.3714905,584.6548399,12.073,158.662,68.419,22.374,0.629600499,0.008522593,0.020736672,10.421,9.862,2.842,7.178,936.084,1017.754,6.282,0.267,57.072,14.836,44,255,62,161,26,0.122,-0.446,0.412,0.562,-0.379,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
44,Crater Lake,United States,Oregon,Oregon,42.9445872,-122.1090039,1882.005493,207.6208741,6.216,190.102,63.402,28.863,0.370828087,0.013558835,0.009462502,7.724,5.759,2.075,14.816,1777.2,1016.887,5.88,8.798,39.587,32.231,142,164,45,87,106,-0.288,-0.475,0.431,0.687,-0.446,Dsc,#BEBEBE,Dry-summer subarctic climate,Cold (continental),Dry summer,Cold summer,North America,North America
45,Dallas,United States,Texas,Dallas County,32.7762719,-96.7968559,137.784317,349.3335104,19.75,202.942,58.146,23.392,0.666906028,0.018406215,0.018099268,9.84,11.158,2.404,11.35,845.446,1016.302,6.658,0.01,42.482,15.441,100,230,33,80,4,-0.012,-0.654,0.327,0.226,-0.653,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
46,Death Valley,United States,California,Inyo County,36.42287215,-116.913718,-82.22781372,288.5225985,24.128,220.862,18.112,17.464,0.676557333,0.004778832,0.040398762,10.282,11.987,1.482,1.04,41.084,1013.054,6.866,0.0,7.839,22.71,311,50,0,24,1,0.033,-0.664,0.29,0.701,-0.606,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,North America,North America
47,Denver,United States,Colorado,Denver County,39.7392364,-104.984862,1608.313232,1177.299215,10.426,172.132,47.219,26.342,0.553019284,0.019800922,0.010531124,10.79,14.232,3.424,3.198,375.525,1014.91,7.859,0.489,55.25,15.342,39,304,22,70,41,-0.014,-0.456,0.407,0.568,-0.416,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,North America,North America
48,Des Moines,United States,Iowa,Polk County,41.5910323,-93.6046655,270.3234863,1160.624964,10.043,104.181,66.444,27.194,0.53564473,0.009869805,0.011487164,12.657,10.887,3.282,5.871,701.31,1016.617,7.838,0.603,52.072,14.968,49,275,38,113,32,0.078,-0.415,0.402,0.568,-0.495,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
49,Detroit,United States,Michigan,Wayne County,42.3315509,-83.0466403,182.2363892,688.0352535,10.929,110.396,64.961,23.844,0.573118325,0.010460336,0.015597599,10.899,8.879,2.721,5.144,622.55,1016.937,7.109,0.328,51.682,14.204,71,226,65,145,40,0.085,-0.465,0.348,0.656,-0.314,Dfa,#550055,Hot-summer humid continental climate,Cold (continental),Without dry season,Hot summer,North America,North America
50,El Paso,United States,Texas,El Paso County,31.7550511,-106.4882345,1130.377075,559.19508,19.045,242.659,34.982,25.627,0.742591013,0.017514108,0.017441972,8.996,13.438,1.991,2.794,232.137,1012.79,6.154,0.005,35.679,15.748,120,235,6,89,3,0.018,-0.462,0.367,0.629,-0.689,BWk,#FFFF64,Cold desert climate,Arid,Desert,Cold,North America,North America
51,Fairbanks,United States,Alaska,Fairbanks North Star Borough,64.837845,-147.716675,135.1925507,355.8019091,-1.702,109.528,68.84,14.378,0.327210803,0.008743564,0.048252347,15.419,10.044,2.483,1.178,135.498,1012.092,11.906,24.958,59.906,13.919,50,246,67,82,63,0.074,-0.755,0.273,0.735,-0.338,Dfc,#C800C8,Subarctic climate,Cold (continental),Without dry season,Cold summer,North America,North America
52,Fresno,United States,California,Fresno County,36.7394421,-119.7848307,90.481987,170.9519343,19.294,197.779,51.347,19.73,0.759123386,0.019389089,0.033154448,8.519,13.599,1.455,2.58,161.881,1015.882,5.73,0.0,41.904,14.269,109,230,26,34,0,-0.146,-0.837,0.289,0.73,-0.776,BSk,#CCAA54,Cold semi-arid (steppe) climate,Arid,Steppe,Cold,North America,North America
53,Green Bay,United States,Wisconsin,Brown County,44.5126379,-88.0125794,181.0738831,956.7962892,8.068,214.158,69.125,24.597,0.517883181,0.006765022,0.015292526,12.0,9.488,2.83,5.964,770.51,1015.972,7.836,1.871,45.219,14.9,104,177,67,131,50,0.141,-0.28,0.355,0.809,-0.326,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,North America,North America
54,Honolulu,United States,Hawaii,Honolulu County,21.304547,-157.855676,3.18534255,1.610910606,25.366,212.773,67.293,26.016,0.917847652,0.005382655,0.008153076,1.566,6.435,0.46,5.237,312.934,1016.654,2.132,0.0,50.607,15.913,2,362,1,162,0,-0.227,-0.507,0.374,0.392,0.214,BSh,#CC8D14,Hot semi-arid (steppe) climate,Arid,Steppe,Hot,North America,North America
55,Houston,United States,Texas,Harris County,29.7589382,-95.3676974,14.68833065,30.70951546,21.469,133.013,67.503,29.448,0.731624624,0.008454471,0.004933948,7.717,8.513,1.979,6.256,766.034,1016.805,5.412,0.0,53.705,13.848,34,276,54,127,1,-0.003,-0.422,0.274,0.288,-0.655,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
56,Indianapolis,United States,Indiana,Marion County,39.7683331,-86.1583502,219.0480499,890.0935979,12.24,591.848,66.531,24.001,0.611327853,0.010210858,0.016545009,10.877,9.877,2.844,6.152,861.007,1017.428,6.35,0.247,55.098,15.023,46,256,63,138,28,0.086,0.192,0.439,-0.74,-0.423,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
57,Jackson,United States,Mississippi,,32.3086744,-90.1983063,87.92829895,191.7880363,18.792,184.485,70.782,18.852,0.737868371,0.007218594,0.033915258,8.416,11.703,2.379,12.109,1505.594,1017.689,5.173,0.001,35.022,15.096,148,180,32,136,4,0.043,-0.461,0.38,0.488,-0.625,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
58,Jacksonville,United States,Florida,Duval County,30.3321838,-81.655651,4.78456068,25.8292599,21.593,204.801,74.406,22.316,0.839399135,0.003585351,0.016554189,6.111,9.027,1.621,7.318,1126.779,1018.04,4.388,0.0,51.553,15.266,42,292,30,161,0,0.148,-0.433,0.345,0.423,-0.455,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
59,Juneau,United States,Alaska,Juneau,58.3004933,-134.4201306,277.1483459,0.244972361,6.203,93.192,84.877,19.869,0.342267969,0.003203432,0.028942915,6.567,4.696,1.491,10.03,2222.196,1014.206,10.213,8.175,83.46,13.628,11,124,230,192,144,0.068,-0.458,0.379,0.477,-0.08,Dfb,#820082,Warm-summer humid continental climate,Cold (continental),Without dry season,Warm summer,North America,North America
60,Kansas City,United States,Missouri,Jackson County,39.100105,-94.5781416,277.4832153,914.2264803,13.63,171.594,61.177,24.695,0.571952449,0.015719294,0.014507774,11.713,10.887,3.317,5.969,568.103,1016.628,7.687,0.126,29.192,15.458,185,143,27,105,16,0.059,-0.353,0.313,0.592,-0.555,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
61,Key West,United States,Florida,Florida,24.5625566,-81.7724368,-0.240792558,0.189852762,26.539,469.201,76.107,21.528,0.649809491,0.001815047,0.021344269,3.366,4.997,0.906,8.368,892.282,1016.694,3.134,0.0,34.812,15.779,79,283,1,128,0,0.015,-0.459,0.254,0.364,-0.409,Aw,#FFCCCC,"Tropical savanna, wet",Tropical,"Savanna, Wet",,North America,North America
62,Knoxville,United States,Tennessee,Knox County,35.9603948,-83.9210261,275.9128418,459.3827205,15.159,164.424,72.922,15.585,0.708815674,0.005219581,0.047594953,8.833,11.629,2.193,7.726,1313.936,1018.377,5.376,0.05,28.914,14.531,139,167,16,161,24,0.039,-0.389,0.484,0.589,-0.489,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
63,Las Vegas,United States,Nevada,Clark County,36.1672559,-115.148516,617.4589233,368.6686813,21.849,234.635,24.579,24.568,0.672731689,0.009777571,0.023833171,9.98,11.661,1.592,0.974,43.828,1014.456,7.246,0.143,14.271,15.946,271,93,0,26,0,0.078,-0.661,0.171,0.678,-0.68,BWh,#FFCC00,Hot deserts climate,Arid,Desert,Hot,North America,North America
64,Little Rock,United States,Arkansas,Pulaski County,34.7465071,-92.2896267,101.9486008,482.4260683,17.6,118.57,63.271,22.504,0.667982715,0.013245179,0.018476209,9.443,11.493,2.503,9.401,1182.191,1018.041,6.158,0.038,54.581,15.072,65,235,65,117,11,-0.042,-0.25,0.442,0.549,-0.602,Cfa,#007800,Humid subtropical climate,Temperate,Without dry season,Hot summer,North America,North America
