,Climate,1st,2nd,3rd,Koppen Climate,Description
10,Cfa,C (Temperate),f (No dry season),a (Hot summer),Humid subtropical climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled). No dry months in the summer."
11,Cfb,C (Temperate),f (No dry season),b (Warm summer),Temperate oceanic climate or subtropical highland climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
12,Cfc,C (Temperate),f (No dry season),c (Cold summer),Subpolar oceanic climate,coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
13,Csa,C (Temperate),s (Dry summer),a (Hot summer),Hot-summer Mediterranean climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 40 mm (1.6 in)."
14,Csb,C (Temperate),s (Dry summer),b (Warm summer),Warm-summer Mediterranean climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 40 mm (1.6 in)."
15,Csc,C (Temperate),s (Dry summer),c (Cold summer),Cold-summer Mediterranean climate,"coldest month averaging above 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 40 mm (1.6 in)."
16,Dwa,D (Continental),w (Dry winter),a (Hot summer),Monsoon-influenced hot-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months)."
17,Dwb,D (Continental),w (Dry winter),b (Warm summer),Monsoon-influenced warm-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months)."
18,Dwc,D (Continental),w (Dry winter),c (Cold summer),Monsoon-influenced subarctic climate,coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months).
19,Dwd,D (Continental),w (Dry winter),d (Very cold winter),Monsoon-influenced extremely cold subarctic climate,coldest month averaging below -38 °C (-36.4 °F) and 1-3 months averaging above 10 °C (50 °F). At least ten times as much rain in the wettest month of summer as in the driest month of winter (alternative definition is 70% or more of average annual precipitation is received in the warmest six months).
20,Dfa,D (Continental),f (No dry season),a (Hot summer),Hot-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), at least one month's average temperature above 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
21,Dfb,D (Continental),f (No dry season),b (Warm summer),Warm-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), all months with average temperatures below 22 °C (71.6 °F), and at least four months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled)."
22,Dfc,D (Continental),f (No dry season),c (Cold summer),Subarctic climate,coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
23,Dfd,D (Continental),f (No dry season),d (Very cold winter),Extremely cold subarctic climate,coldest month averaging below -38 °C (-36.4 °F) and 1-3 months averaging above 10 °C (50 °F). No significant precipitation difference between seasons (neither the abovementioned set of conditions fulfilled).
24,Dsa,D (Continental),s (Dry summer) ,a (Hot summer),Mediterranean-influenced hot-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), average temperature of the warmest month above 22 °C (71.6 °F) and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
25,Dsb,D (Continental),s (Dry summer) ,b (Warm summer),Mediterranean-influenced warm-summer humid continental climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)), average temperature of the warmest month below 22 °C (71.6 °F) and at least four months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
26,Dsc,D (Continental),s (Dry summer) ,c (Cold summer),Mediterranean-influenced subarctic climate,"coldest month averaging below 0 °C (32 °F) (or -3°C (27 °F)) and 1-3 months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
27,Dsd,D (Continental),s (Dry summer) ,d (Very cold winter),Mediterranean-influenced extremely cold subarctic climate,"coldest month averaging below -38 °C (-36.4 °F) and 1-3 months averaging above 10 °C (50 °F). At least three times as much precipitation in the wettest month of winter as in the driest month of summer, and the driest month of summer receives less than 30 mm (1.2 in)."
28,ET,E (Polar),T (Tundra),,Tundra climate,average temperature of warmest month between 0 °C (32 °F) and 10 °C (50 °F).
29,EF,E (Polar),F (Ice cap),,Ice cap climate,"eternal winter, with all 12 months of the year with average temperatures below 0 °C (32 °F)."
